link,area,quartos,vagas,banheiros,local,valor
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/aluga-se-casa-de-3-comodos-em-osasco-1336937323,50 metros quadrados,2 quartos,,,R$ 1.000,Osasco -  SP
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/alugo-sobrado-jardim-stella-1334441000,110 metros quadrados,4 quartos,2 vagas de garagem,2 banheiros,R$ 2.200,Santo André -  SP
https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/imoveis/casa-2-quartos-2-banheiros-1-vaga-morro-algodao-caragua-1336038282,70 metros quadrados,2 quartos,1 vaga de garagem,2 banheiros,R$ 1.500,Caraguatatuba -  SP
https://ba.olx.com.br/grande-salvador/imoveis/locacao-studio-27m2-300m-da-praia-de-jaguaribe-1322609981,27 metros quadrados,,,,R$ 2.580,Salvador -  BA
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/alugo-casa-3-comodos-no-no-bairro-vila-celeste-1336951543,,,,,R$ 600,Itaquaquecetuba -  SP
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/casa-moderna-piscina-1336951070,,2 quartos,2 vagas de garagem,2 banheiros,R$ 8.000,Belo Horizonte -  MG
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alugo-casa-com-piscina-1335413416,300 metros quadrados,4 quartos,3 vagas de garagem,4 banheiros,R$ 3.500,Rio de Janeiro -  RJ
https://pa.olx.com.br/regiao-de-belem/imoveis/alugo-casa-em-condominio-fechado-em-ananindeua-com-3-suites-no-villa-firenze-1336949770,200 metros quadrados,3 quartos,3 vagas de garagem,4 banheiros,R$ 6.800,Ananindeua -  PA
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-com-2-quartos-125m-para-locacao-em-sao-bernardo-do-campo-anchieta-1336949622,125 metros quadrados,2 quartos,2 vagas de garagem,2 banheiros,R$ 3.000,São Bernardo do Campo -  SP
https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/curitiba-casa-padrao-capao-raso-1336949606,350 metros quadrados,4 quartos,5 ou mais vagas de garagem,3 banheiros,R$ 6.500,Curitiba -  PR
https://ba.olx.com.br/grande-salvador/imoveis/aluga-se-casa-fazenda-grande-do-retiro-1336949565,,2 quartos,,,R$ 600,Salvador -  BA
